relative_path,size_bytes
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_z2.dat,21731
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_cb1.dat,21880
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_cb2.dat,21892
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_hh1.dat,21878
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_hh2.dat,21809
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_lh1.dat,21713
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_lh2.dat,21709
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_s1.dat,21925
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_s2.dat,21864
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_so1.dat,21822
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_so2.dat,21833
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_x1.dat,21949
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_x2.dat,21780
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_y1.dat,21772
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_y2.dat,21771
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_z1.dat,21783
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0008_z2.dat,21824
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_cb1.dat,21823
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_cb2.dat,21826
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_hh1.dat,21858
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_hh2.dat,21831
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_lh1.dat,21936
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_lh2.dat,21940
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_s1.dat,21774
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_s2.dat,21810
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_so1.dat,21670
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_so2.dat,21682
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_x1.dat,21755
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_x2.dat,21638
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_y1.dat,21865
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_y2.dat,21690
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_z1.dat,21976
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0009_z2.dat,21727
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_cb1.dat,21560
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_cb2.dat,21565
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_hh1.dat,21856
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_hh2.dat,21810
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_lh1.dat,21488
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_lh2.dat,21498
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_s1.dat,21907
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_s2.dat,21535
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_so1.dat,21819
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_so2.dat,21813
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_x1.dat,21906
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_x2.dat,21726
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_y1.dat,21967
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_y2.dat,21898
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_z1.dat,21611
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0010_z2.dat,21881
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_cb1.dat,21022
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_cb2.dat,21023
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_hh1.dat,21847
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_hh2.dat,21876
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_lh1.dat,21428
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_lh2.dat,21426
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_s1.dat,21900
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_s2.dat,21011
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_so1.dat,21358
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_so2.dat,21345
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_x1.dat,21807
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_x2.dat,21314
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_y1.dat,21785
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_y2.dat,21657
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_z1.dat,21708
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0011_z2.dat,21776
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_cb1.dat,21249
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_cb2.dat,21244
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_hh1.dat,21808
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_hh2.dat,21807
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_lh1.dat,21567
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_lh2.dat,21566
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_s1.dat,21876
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_s2.dat,21180
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_so1.dat,21604
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_so2.dat,21609
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_x1.dat,21867
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_x2.dat,21396
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_y1.dat,21617
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_y2.dat,21796
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_z1.dat,21819
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0012_z2.dat,21858
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_cb1.dat,21542
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_cb2.dat,21534
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_hh1.dat,21828
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_hh2.dat,21804
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_lh1.dat,21679
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_lh2.dat,21678
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_s1.dat,21947
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_s2.dat,21477
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_so1.dat,21810
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_so2.dat,21824
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_x1.dat,21850
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_x2.dat,21657
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_y1.dat,21572
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_y2.dat,21863
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_z1.dat,21802
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0013_z2.dat,21825
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_cb1.dat,21065
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_cb2.dat,21052
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_hh1.dat,21788
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_hh2.dat,21841
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_lh1.dat,21298
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_lh2.dat,21294
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_s1.dat,21899
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_s2.dat,21018
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_so1.dat,21374
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_so2.dat,21369
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_x1.dat,21850
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_x2.dat,21303
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_y1.dat,21861
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_y2.dat,21778
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_z1.dat,21567
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0014_z2.dat,21830
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_cb1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_cb2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_hh1.dat,31847
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_hh2.dat,31838
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_lh1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_lh2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_s1.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_s2.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_so1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_so2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_x1.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_x2.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_y1.dat,30716
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_y2.dat,30705
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_z1.dat,30713
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0001_z2.dat,30721
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_cb1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_cb2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_hh1.dat,31838
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_hh2.dat,31837
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_lh1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_lh2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_s1.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_s2.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_so1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_so2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_x1.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_x2.dat,30745
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_y1.dat,30716
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_y2.dat,30711
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_z1.dat,30721
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0002_z2.dat,30677
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0003_cb1.dat,31834
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0003_cb2.dat,31828
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0003_hh1.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0003_hh2.dat,31874
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0003_lh1.dat,31837
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_shift_k00000_0003_lh2.dat,31836
