Feature,Wavelength,Pathway,Real,Imag,Magnitude,Fraction of subtotal,Sign,Rank,Group
Z1,605.0,V_m1_n1_l2,-0.056685175742118225,-0.0007908472061678105,0.05669069225382887,0.0015052885830958973,negative,11,heavy_hole_signed
Z1,605.0,C_m1_n2_l1,-0.21584969875093152,-0.0028660776921542713,0.21586872597068188,0.005226975323192723,negative,8,electron
Z1,605.0,C_m1_n2_l2,0.43923334019674926,0.0074065050699731886,0.4392957812883534,0.010636965581984055,positive,5,electron
Z1,605.0,V_m1_n2_l1,-0.2977791457572934,-0.005021255335024772,0.2978214778236837,0.00790795195023325,negative,6,heavy_hole_signed
Z1,605.0,V_m1_n2_l2,0.16824642635018772,0.003068908842241779,0.16827441332861967,0.0044681330063247445,positive,9,heavy_hole_signed
Z1,605.0,C_m2_n1_l1,0.007983056997901593,0.00011156306853333545,0.00798383650571617,0.0001933180279456106,positive,16,electron
Z1,605.0,C_m2_n1_l2,0.021486152896097337,0.0003905997763121583,0.021489702986773156,0.0005203446988882482,positive,13,electron
Z1,605.0,V_m2_n1_l1,-0.053806908680754544,-0.0007109849711637873,0.05381160582447136,0.0014288411847742533,negative,12,heavy_hole_signed
Z1,605.0,V_m2_n1_l2,-0.00798658172945696,-0.00011161232658926276,0.007987361581444927,0.0002120856831977703,negative,15,heavy_hole_signed
Z1,605.0,C_m2_n2_l1,0.01672400354950406,0.00023521059618713787,0.016725657498238542,0.00040498964643604615,positive,14,electron
Z1,605.0,C_m2_n2_l2,10.169503932045266,0.1857662791677017,10.171200486390973,0.2462821499990321,positive,3,electron
Z1,605.0,V_m2_n2_l1,0.15641209951523405,0.002641518627865675,0.15643440317086532,0.004153749261733879,positive,10,heavy_hole_signed
Z1,605.0,V_m2_n2_l2,-6.937353022251926,-0.12672459412259307,6.938510364487717,0.18423589517290642,negative,4,heavy_hole_signed
P2,760.0,C_m1_n1_l1,104.89927230618747,371.5280331978083,386.05302327814945,0.8168237884719078,positive,1,electron
P2,760.0,C_m1_n1_l2,1.9022044117304266,-1.9549623461594343,2.727683889109568,0.005771324024707803,positive,8,electron
P2,760.0,V_m1_n1_l1,-104.29635743657016,-369.39265350669996,383.83416033393604,0.8663664178247233,negative,2,heavy_hole_signed
P2,760.0,V_m1_n1_l2,-0.01624767725331675,-0.5951501280241155,0.5953718685857177,0.001343836079132365,negative,12,heavy_hole_signed
P2,760.0,C_m1_n2_l1,-0.7714978266311395,-2.7177918899876636,2.825172853787762,0.005977594408984195,negative,7,electron
P2,760.0,C_m1_n2_l2,-3.1490174301053395,3.2430244760702225,4.520344956692772,0.00956429575754253,negative,5,electron
P2,760.0,V_m1_n2_l1,2.134882839020277,-2.19861510904798,3.0645771542053466,0.006917171543372997,positive,6,heavy_hole_signed
P2,760.0,V_m1_n2_l2,-1.2428316861999427,0.14913798168503678,1.251747873097326,0.002825366871701974,negative,10,heavy_hole_signed
P2,760.0,C_m2_n1_l1,0.0020913568896821556,0.0842829250981314,0.08430886807885188,0.00017838349882919792,positive,16,electron
P2,760.0,C_m2_n1_l2,-0.1556754314550138,0.018692331010269608,0.15679363251517006,0.00033174916707500433,negative,14,electron
P2,760.0,V_m2_n1_l1,-0.18705691072887562,-0.6675946839564278,0.6933058126817583,0.001564886441758028,negative,11,heavy_hole_signed
P2,760.0,V_m2_n1_l2,-0.002092280279258915,-0.08432013824664708,0.08434609268188215,0.00019038071575166568,negative,15,heavy_hole_signed
P2,760.0,C_m2_n2_l1,0.004762603188608125,0.18070328177379183,0.18076603229852267,0.0003824707654801359,positive,13,electron
P2,760.0,C_m2_n2_l2,-75.5371786047995,9.063296444500581,76.07896354455859,0.16097039390547316,negative,3,electron
P2,760.0,V_m2_n2_l1,-1.1251873951410263,1.160742847224644,1.6165922898391607,0.0036488708300807075,negative,9,heavy_hole_signed
P2,760.0,V_m2_n2_l2,51.5293644398049,-6.182729010280831,51.89895507218617,0.1171430696934788,positive,4,heavy_hole_signed
P3,1080.0,C_m1_n1_l1,-110.80289659756365,0.49170553378592435,110.80398760307473,0.8095181708645756,negative,1,electron
P3,1080.0,C_m1_n1_l2,0.6069489764590652,-0.0012379305560940687,0.6069502388967061,0.004434292102893997,positive,8,electron
P3,1080.0,V_m1_n1_l1,110.16605029265929,-0.48887942669027734,110.16713502755064,0.860494429536339,positive,2,heavy_hole_signed
P3,1080.0,V_m1_n1_l2,0.18428336013384422,-0.0006922636551412026,0.1842846603795019,0.001439412249995434,positive,12,heavy_hole_signed
P3,1080.0,C_m1_n2_l1,0.8968577338909317,-0.002818334524890292,0.8968621621238525,0.006552347372198749,positive,6,electron
P3,1080.0,C_m1_n2_l2,-1.1100782081411606,0.000823659220424318,1.110078513711711,0.008110075705533857,negative,5,electron
P3,1080.0,V_m1_n2_l1,0.7525798027899983,-0.0005584014613808836,0.752580009952181,0.0058782585766826425,positive,7,heavy_hole_signed
P3,1080.0,V_m1_n2_l2,-0.37262319143118694,0.0001163401268320155,0.37262320959299905,0.0029104886506356145,negative,10,heavy_hole_signed
P3,1080.0,C_m2_n1_l1,-0.026690651348215085,9.24161679453205e-05,0.026690811342858677,0.00019499927073529666,negative,16,electron
P3,1080.0,C_m2_n1_l2,-0.043282161699774335,5.697611256959675e-05,0.04328219920108977,0.00031621359019835593,negative,14,electron
P3,1080.0,V_m2_n1_l1,0.20335355537672245,-0.0008425767056099696,0.20335530093867374,0.0015883693774069192,positive,11,heavy_hole_signed
P3,1080.0,V_m2_n1_l2,0.026702435979223622,-9.245697213643028e-05,0.026702596044509096,0.0002085688726017333,positive,15,heavy_hole_signed
P3,1080.0,C_m2_n2_l1,-0.06365459014360798,0.0001303471964585362,0.06365472360117778,0.00046505235534578956,negative,13,electron
P3,1080.0,C_m2_n2_l2,-23.3249611265636,-0.002357122110867381,23.324961245664007,0.17040884873851847,negative,3,electron
P3,1080.0,V_m2_n2_l1,-0.40939305050833136,0.00013451104939398874,0.4093930726059487,0.0031976910208301817,negative,9,heavy_hole_signed
P3,1080.0,V_m2_n2_l2,15.911640395298138,0.0016079632112747477,15.911640476545125,0.12428278171550843,positive,4,heavy_hole_signed
Z2,1330.0,C_m1_n1_l1,-194.79597707934718,-2.285457658493278,194.80938376527533,0.6980589337921483,negative,1,electron
Z2,1330.0,C_m1_n1_l2,1.1469785003575783,0.01477932197150071,1.1470737154343902,0.0041103002293868835,positive,9,electron
Z2,1330.0,V_m1_n1_l1,193.67637549831824,2.2723218532975604,193.68970512851357,0.7694322756668786,positive,2,heavy_hole_signed
Z2,1330.0,V_m1_n1_l2,0.3303864737659998,0.00397546652645806,0.33041039084997714,0.0013125551446681151,positive,12,heavy_hole_signed
Z2,1330.0,C_m1_n2_l1,2.2871166329444383,0.06218598280432527,2.2879618854230164,0.008198435842391655,positive,6,electron
Z2,1330.0,C_m1_n2_l2,-3.048054360369773,-0.08667348315506337,3.049286420861677,0.010926484066795744,negative,5,electron
Z2,1330.0,V_m1_n2_l1,2.0664347183802914,0.058760466047870726,2.0672699963230725,0.008212229228359548,positive,7,heavy_hole_signed
Z2,1330.0,V_m1_n2_l2,-1.0367949270209864,-0.029704819084401667,1.0372203704966894,0.00412035750433813,negative,10,heavy_hole_signed
Z2,1330.0,C_m2_n1_l1,-0.051509549538551525,-0.0007539182202797483,0.051515066595583116,0.00018459353326261184,negative,16,electron
Z2,1330.0,C_m2_n1_l2,-0.08925636729100277,-0.0014033994640403535,0.08926739960389828,0.0003198711714266112,negative,14,electron
Z2,1330.0,V_m2_n1_l1,0.38483784455317893,0.005517396340809514,0.38487739380576547,0.0015289252919881305,positive,11,heavy_hole_signed
Z2,1330.0,V_m2_n1_l2,0.051532292371868245,0.0007542510951849239,0.051537811864826956,0.00020473393689011076,positive,15,heavy_hole_signed
Z2,1330.0,C_m2_n2_l1,-0.19712387027924957,-0.007646594620607038,0.19727212333009017,0.0007068836491194848,negative,13,electron
Z2,1330.0,C_m2_n2_l2,-77.37916665733701,-3.0994153555855988,77.441215177258,0.2774944977154687,negative,3,electron
Z2,1330.0,V_m2_n2_l1,-1.3403437695838558,-0.053406113884648596,1.341407333237194,0.005328740091395759,negative,8,heavy_hole_signed
Z2,1330.0,V_m2_n2_l2,52.78591750951325,2.114335038165563,52.82824528578203,0.20986018313548174,positive,4,heavy_hole_signed
P4,1520.0,C_m1_n1_l1,-289.3060741134722,-742.7767498167738,797.1294152064143,0.8360063339829015,negative,1,electron
P4,1520.0,C_m1_n1_l2,1.6866492796462682,4.516434592716403,4.821096060318303,0.0050562264624526955,positive,8,electron
P4,1520.0,V_m1_n1_l1,287.64327007185256,738.5075958233747,792.5478660033409,0.8815352835434578,positive,2,heavy_hole_signed
P4,1520.0,V_m1_n1_l2,0.494355967830613,1.2665159023765,1.3595772702948157,0.0015122308517622435,positive,11,heavy_hole_signed
P4,1520.0,C_m1_n2_l1,-4.0490539769506295,4.889407916757219,6.348318508448349,0.006657933306638061,negative,6,electron
P4,1520.0,C_m1_n2_l2,5.508187692097415,-6.4840829161063365,8.507847137455839,0.008922784631689433,positive,5,electron
P4,1520.0,V_m1_n2_l1,-3.734287167018987,4.395897339925778,5.767912453299653,0.006415534705322034,negative,7,heavy_hole_signed
P4,1520.0,V_m1_n2_l2,1.8932051335070548,-2.2106798418675186,2.910555108699518,0.003237352761991379,positive,9,heavy_hole_signed
P4,1520.0,C_m2_n1_l1,-0.02338624394742577,-0.16850353536813134,0.17011865811111843,0.00017841554080994388,negative,16,electron
P4,1520.0,C_m2_n1_l2,-0.03657165598855373,-0.298702954081073,0.30093344911874575,0.0003156103196937554,negative,14,electron
P4,1520.0,V_m2_n1_l1,0.1719626682860191,1.2510743332302368,1.2628373397043378,0.0014046289442924784,positive,12,heavy_hole_signed
P4,1520.0,V_m2_n1_l2,0.023396569594859442,0.16857793415151212,0.17019377001405975,0.00018930315725062058,positive,15,heavy_hole_signed
P4,1520.0,C_m2_n2_l1,0.34152991831214136,-0.04652690065994882,0.3446845479381382,0.0003614952099436687,positive,13,electron
P4,1520.0,C_m2_n2_l2,134.6649105682567,-18.08942562290439,135.8744474054013,0.14250120054587098,positive,3,electron
P4,1520.0,V_m2_n2_l1,2.324313559660868,-0.31330416890597357,2.3453343100456356,0.0026086688699778343,positive,10,heavy_hole_signed
P4,1520.0,V_m2_n2_l2,-91.86466031820426,12.340103544324833,92.68977274146114,0.10309699716594553,negative,4,heavy_hole_signed
